tomo_id,Z,Y,X,voxel_spacing,ori_num_motors,num_motors,ZA,YA,XA,V,VA,motor_z,motor_y,motor_x,motor_zA,motor_yA,motor_xA,motor_zyx,motor_zyxA
tomo_066095,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_06e11e,300,960,928,15.6,0,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,134.875,241.5,487.75,2104.0499999999997,3767.4,7608.9,"[[134.875, 241.5, 487.75]]","[[2104.0499999999997, 3767.4, 7608.9]]"
tomo_072a16,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_081a2d,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,152.0,314.0,651.0,2371.2,4898.4,10155.6,"[[152.0, 314.0, 651.0]]","[[2371.2, 4898.4, 10155.6]]"
tomo_08446f,500,924,956,19.7,2,2,9850.0,18202.8,18833.2,441672000,3376747183656.0,235.0,740.0,54.0,4629.5,14578.0,1063.8,"[[235.0, 740.0, 54.0], [246.0, 778.0, 45.0]]","[[4629.5, 14578.0, 1063.8], [4846.2, 15326.599999999999, 886.5]]"
tomo_087d64,800,927,959,13.1,0,0,10480.0,12143.699999999999,12562.9,711194400,1598829729890.3997,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_08a6d6,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_08bf73,800,928,960,16.1,0,0,12880.000000000002,14940.800000000001,15456.000000000002,712704000,2974314061824.001,-1.0,-1.0,-1.0,-16.1,-16.1,-16.1,[],[]
tomo_098751,500,924,956,16.1,0,0,8050.000000000001,14876.400000000001,15391.600000000002,441672000,1843221365832.0007,-1.0,-1.0,-1.0,-16.1,-16.1,-16.1,[],[]
tomo_0a180f,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_0a8f05,300,928,928,13.1,1,1,3930.0,12156.8,12156.8,258355200,580805999923.2,52.0,587.0,575.0,681.1999999999999,7689.7,7532.5,"[[52.0, 587.0, 575.0]]","[[681.1999999999999, 7689.7, 7532.5]]"
tomo_0c2749,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_0c3a99,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,125.0,645.0,227.0,1950.0,10062.0,3541.2,"[[125.0, 645.0, 227.0]]","[[1950.0, 10062.0, 3541.2]]"
tomo_0c3d78,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_0d4c9e,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_0da370,300,928,928,13.1,1,1,3930.0,12156.8,12156.8,258355200,580805999923.2,28.0,356.0,636.0,366.8,4663.599999999999,8331.6,"[[28.0, 356.0, 636.0]]","[[366.8, 4663.599999999999, 8331.6]]"
tomo_0de3ee,500,928,960,13.1,2,2,6550.0,12156.8,12576.0,445440000,1001389655040.0,131.0,139.0,326.0,1716.1,1820.8999999999999,4270.599999999999,"[[131.0, 139.0, 326.0], [203.0, 642.0, 801.0]]","[[1716.1, 1820.8999999999999, 4270.599999999999], [2659.2999999999997, 8410.199999999999, 10493.1]]"
tomo_0e9757,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_0eb41e,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_0eb994,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,161.0,835.0,630.0,2511.6,13026.0,9828.0,"[[161.0, 835.0, 630.0]]","[[2511.6, 13026.0, 9828.0]]"
tomo_0f9df0,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,94.0,174.0,599.0,1466.3999999999999,2714.4,9344.4,"[[94.0, 174.0, 599.0]]","[[1466.3999999999999, 2714.4, 9344.4]]"
tomo_0fab19,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,159.0,516.0,681.0,2480.4,8049.599999999999,10623.6,"[[159.0, 516.0, 681.0]]","[[2480.4, 8049.599999999999, 10623.6]]"
tomo_0fe63f,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,197.0,362.0,265.0,2580.7,4742.2,3471.5,"[[197.0, 362.0, 265.0]]","[[2580.7, 4742.2, 3471.5]]"
tomo_101279,300,928,928,13.1,1,1,3930.0,12156.8,12156.8,258355200,580805999923.2,161.0,295.0,585.0,2109.1,3864.5,7663.5,"[[161.0, 295.0, 585.0]]","[[2109.1, 3864.5, 7663.5]]"
tomo_10a3bd,500,1024,1440,13.3,0,0,6650.0,13619.2,19152.0,737280000,1734552207360.0,-1.0,-1.0,-1.0,-13.3,-13.3,-13.3,[],[]
tomo_10c564,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,16.0,455.0,267.0,209.6,5960.5,3497.7,"[[16.0, 455.0, 267.0]]","[[209.6, 5960.5, 3497.7]]"
tomo_122a02,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,127.0,808.0,140.0,1981.2,12604.8,2184.0,"[[127.0, 808.0, 140.0]]","[[1981.2, 12604.8, 2184.0]]"
tomo_122c46,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_12f896,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,95.0,404.0,212.0,1244.5,5292.4,2777.2,"[[95.0, 404.0, 212.0]]","[[1244.5, 5292.4, 2777.2]]"
tomo_13484c,300,928,928,15.6,1,1,4680.0,14476.8,14476.8,258355200,980823814963.2,153.0,768.0,658.0,2386.7999999999997,11980.8,10264.8,"[[153.0, 768.0, 658.0]]","[[2386.7999999999997, 11980.8, 10264.8]]"
tomo_134bb0,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,55.0,252.0,173.0,858.0,3931.2,2698.7999999999997,"[[55.0, 252.0, 173.0]]","[[858.0, 3931.2, 2698.7999999999997]]"
tomo_136c8d,500,924,956,19.7,0,0,9850.0,18202.8,18833.2,441672000,3376747183656.0,-1.0,-1.0,-1.0,-19.7,-19.7,-19.7,[],[]
tomo_138018,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,144.0,233.0,455.0,2246.4,3634.7999999999997,7098.0,"[[144.0, 233.0, 455.0]]","[[2246.4, 3634.7999999999997, 7098.0]]"
tomo_13973d,500,924,956,19.7,1,1,9850.0,18202.8,18833.2,441672000,3376747183656.0,234.0,221.0,808.0,4609.8,4353.7,15917.599999999999,"[[234.0, 221.0, 808.0]]","[[4609.8, 4353.7, 15917.599999999999]]"
tomo_139d9e,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,153.0,611.0,172.0,2386.7999999999997,9531.6,2683.2,"[[153.0, 611.0, 172.0]]","[[2386.7999999999997, 9531.6, 2683.2]]"
tomo_1446aa,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,149.0,293.0,601.0,1951.8999999999999,3838.2999999999997,7873.099999999999,"[[149.0, 293.0, 601.0]]","[[1951.8999999999999, 3838.2999999999997, 7873.099999999999]]"
tomo_146de2,500,924,956,16.1,0,0,8050.000000000001,14876.400000000001,15391.600000000002,441672000,1843221365832.0007,-1.0,-1.0,-1.0,-16.1,-16.1,-16.1,[],[]
tomo_16136a,300,960,928,16.8,1,1,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,141.0,566.0,443.0,2368.8,9508.800000000001,7442.400000000001,"[[141.0, 566.0, 443.0]]","[[2368.8, 9508.800000000001, 7442.400000000001]]"
tomo_161683,300,928,928,15.6,1,1,4680.0,14476.8,14476.8,258355200,980823814963.2,186.0,145.0,370.0,2901.6,2262.0,5772.0,"[[186.0, 145.0, 370.0]]","[[2901.6, 2262.0, 5772.0]]"
tomo_16efa8,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,183.0,379.0,752.0,2397.2999999999997,4964.9,9851.199999999999,"[[183.0, 379.0, 752.0]]","[[2397.2999999999997, 4964.9, 9851.199999999999]]"
tomo_16fce8,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_17143f,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_172f08,800,928,960,13.1,0,1,10480.0,12156.8,12576.0,712704000,1602223448063.9998,375.75,551.5,893.5,4922.325,7224.65,11704.85,"[[375.75, 551.5, 893.5]]","[[4922.325, 7224.65, 11704.85]]"
tomo_180bfd,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_183270,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_191bcb,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,149.0,417.0,500.0,1951.8999999999999,5462.7,6550.0,"[[149.0, 417.0, 500.0]]","[[1951.8999999999999, 5462.7, 6550.0]]"
tomo_19a313,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,67.0,598.0,300.0,877.6999999999999,7833.8,3930.0,"[[67.0, 598.0, 300.0]]","[[877.6999999999999, 7833.8, 3930.0]]"
tomo_19a4fd,300,960,928,16.8,1,1,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,175.0,583.0,468.0,2940.0,9794.4,7862.400000000001,"[[175.0, 583.0, 468.0]]","[[2940.0, 9794.4, 7862.400000000001]]"
tomo_1ab322,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,68.0,580.0,583.0,1060.8,9048.0,9094.8,"[[68.0, 580.0, 583.0]]","[[1060.8, 9048.0, 9094.8]]"
tomo_1af88d,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,24.0,306.0,619.0,314.4,4008.6,8108.9,"[[24.0, 306.0, 619.0]]","[[314.4, 4008.6, 8108.9]]"
tomo_1b82d1,500,924,956,19.7,4,4,9850.0,18202.8,18833.2,441672000,3376747183656.0,223.0,716.0,677.0,4393.099999999999,14105.199999999999,13336.9,"[[223.0, 716.0, 677.0], [210.0, 738.0, 667.0], [222.0, 878.0, 470.0], [208.0, 697.0, 680.0]]","[[4393.099999999999, 14105.199999999999, 13336.9], [4137.0, 14538.6, 13139.9], [4373.4, 17296.6, 9259.0], [4097.599999999999, 13730.9, 13396.0]]"
tomo_1c2534,800,927,959,13.1,0,0,10480.0,12143.699999999999,12562.9,711194400,1598829729890.3997,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_1c38fd,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,103.0,668.0,281.0,1606.8,10420.8,4383.599999999999,"[[103.0, 668.0, 281.0]]","[[1606.8, 10420.8, 4383.599999999999]]"
tomo_1c75ac,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_1cc887,300,928,928,15.6,1,1,4680.0,14476.8,14476.8,258355200,980823814963.2,143.0,667.0,192.0,2230.7999999999997,10405.199999999999,2995.2,"[[143.0, 667.0, 192.0]]","[[2230.7999999999997, 10405.199999999999, 2995.2]]"
tomo_1da097,500,928,960,13.1,2,2,6550.0,12156.8,12576.0,445440000,1001389655040.0,34.0,579.0,419.0,445.4,7584.9,5488.9,"[[34.0, 579.0, 419.0], [37.0, 652.0, 483.0]]","[[445.4, 7584.9, 5488.9], [484.7, 8541.199999999999, 6327.3]]"
tomo_1da0da,800,928,960,13.1,0,1,10480.0,12156.8,12576.0,712704000,1602223448063.9998,366.0,444.0,248.625,4794.599999999999,5816.4,3256.9874999999997,"[[366.0, 444.0, 248.625]]","[[4794.599999999999, 5816.4, 3256.9874999999997]]"
tomo_1dc5f9,500,924,956,19.7,0,1,9850.0,18202.8,18833.2,441672000,3376747183656.0,184.625,854.0,197.625,3637.1124999999997,16823.8,3893.2124999999996,"[[184.625, 854.0, 197.625]]","[[3637.1124999999997, 16823.8, 3893.2124999999996]]"
tomo_1e9980,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_1efc28,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,123.0,636.0,175.0,1918.8,9921.6,2730.0,"[[123.0, 636.0, 175.0]]","[[1918.8, 9921.6, 2730.0]]"
tomo_1f0e78,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,112.0,797.0,264.0,1747.2,12433.199999999999,4118.4,"[[112.0, 797.0, 264.0]]","[[1747.2, 12433.199999999999, 4118.4]]"
tomo_1fb6a7,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_20a9ed,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,185.0,319.0,560.0,2423.5,4178.9,7336.0,"[[185.0, 319.0, 560.0]]","[[2423.5, 4178.9, 7336.0]]"
tomo_210371,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,263.0,584.0,595.0,4102.8,9110.4,9282.0,"[[263.0, 584.0, 595.0]]","[[4102.8, 9110.4, 9282.0]]"
tomo_221a47,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,166.0,324.0,563.0,2174.6,4244.4,7375.3,"[[166.0, 324.0, 563.0]]","[[2174.6, 4244.4, 7375.3]]"
tomo_221c8e,500,928,928,16.8,0,0,8400.0,15590.400000000001,15590.400000000001,430592000,2041708806144.0005,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_225d8f,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,61.0,483.0,497.0,799.1,6327.3,6510.7,"[[61.0, 483.0, 497.0]]","[[799.1, 6327.3, 6510.7]]"
tomo_226cd8,500,928,960,13.1,10,10,6550.0,12156.8,12576.0,445440000,1001389655040.0,365.0,528.0,607.0,4781.5,6916.8,7951.7,"[[365.0, 528.0, 607.0], [312.0, 136.0, 99.0], [299.0, 227.0, 70.0], [332.0, 552.0, 58.0], [355.0, 656.0, 165.0], [366.0, 693.0, 269.0], [386.0, 693.0, 319.0], [388.0, 671.0, 433.0], [411.0, 318.0, 740.0], [354.0, 277.0, 756.0]]","[[4781.5, 6916.8, 7951.7], [4087.2, 1781.6, 1296.8999999999999], [3916.9, 2973.7, 917.0], [4349.2, 7231.2, 759.8], [4650.5, 8593.6, 2161.5], [4794.599999999999, 9078.3, 3523.9], [5056.599999999999, 9078.3, 4178.9], [5082.8, 8790.1, 5672.3], [5384.099999999999, 4165.8, 9694.0], [4637.4, 3628.7, 9903.6]]"
tomo_22976c,500,928,960,13.1,0,0,6550.0,12156.8,12576.0,445440000,1001389655040.0,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_229f0a,500,960,928,16.8,0,0,8400.0,16128.0,15590.400000000001,445440000,2112112558080.0002,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_23a8e8,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,132.0,686.0,356.0,2059.2,10701.6,5553.599999999999,"[[132.0, 686.0, 356.0]]","[[2059.2, 10701.6, 5553.599999999999]]"
tomo_23c8a4,300,960,928,16.8,0,2,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,125.1875,468.0,300.5,2103.15,7862.400000000001,5048.400000000001,"[[125.1875, 468.0, 300.5], [110.0, 506.25, 308.0]]","[[2103.15, 7862.400000000001, 5048.400000000001], [1848.0, 8505.0, 5174.400000000001]]"
tomo_23ce49,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,152.0,248.0,532.0,2371.2,3868.7999999999997,8299.199999999999,"[[152.0, 248.0, 532.0]]","[[2371.2, 3868.7999999999997, 8299.199999999999]]"
tomo_247826,500,960,928,16.8,0,0,8400.0,16128.0,15590.400000000001,445440000,2112112558080.0002,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_24795a,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,144.0,702.0,703.0,2246.4,10951.199999999999,10966.8,"[[144.0, 702.0, 703.0]]","[[2246.4, 10951.199999999999, 10966.8]]"
tomo_2483bb,300,960,928,15.6,1,1,4680.0,14976.0,14476.8,267264000,1014645325824.0,145.0,620.0,483.0,2262.0,9672.0,7534.8,"[[145.0, 620.0, 483.0]]","[[2262.0, 9672.0, 7534.8]]"
tomo_24a095,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_24fda8,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_256717,300,928,928,15.6,1,1,4680.0,14476.8,14476.8,258355200,980823814963.2,172.0,770.0,514.0,2683.2,12012.0,8018.4,"[[172.0, 770.0, 514.0]]","[[2683.2, 12012.0, 8018.4]]"
tomo_25780f,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,147.0,792.0,658.0,1925.7,10375.199999999999,8619.8,"[[147.0, 792.0, 658.0]]","[[1925.7, 10375.199999999999, 8619.8]]"
tomo_2645a0,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_278194,300,960,928,19.2,0,0,5760.0,18432.0,17817.6,267264000,1891664658431.9998,-1.0,-1.0,-1.0,-19.2,-19.2,-19.2,[],[]
tomo_285454,300,956,924,16.1,0,0,4830.0,15391.600000000002,14876.400000000001,265003200,1105932819499.2004,-1.0,-1.0,-1.0,-16.1,-16.1,-16.1,[],[]
tomo_285d15,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,137.0,391.0,611.0,1794.7,5122.099999999999,8004.099999999999,"[[137.0, 391.0, 611.0]]","[[1794.7, 5122.099999999999, 8004.099999999999]]"
tomo_288d4f,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_28f9c1,500,924,956,16.1,0,1,8050.000000000001,14876.400000000001,15391.600000000002,441672000,1843221365832.0007,186.375,75.0,130.625,3000.6375000000003,1207.5,2103.0625,"[[186.375, 75.0, 130.625]]","[[3000.6375000000003, 1207.5, 2103.0625]]"
tomo_2a6091,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,185.0,492.0,635.0,2423.5,6445.2,8318.5,"[[185.0, 492.0, 635.0]]","[[2423.5, 6445.2, 8318.5]]"
tomo_2a6ca2,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,32.0,528.0,347.0,419.2,6916.8,4545.7,"[[32.0, 528.0, 347.0]]","[[419.2, 6916.8, 4545.7]]"
tomo_2a89bb,800,928,960,16.1,0,1,12880.000000000002,14940.800000000001,15456.000000000002,712704000,2974314061824.001,273.75,592.0,902.0,4407.375,9531.2,14522.2,"[[273.75, 592.0, 902.0]]","[[4407.375, 9531.2, 14522.2]]"
tomo_2acf68,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,135.0,337.0,679.0,1768.5,4414.7,8894.9,"[[135.0, 337.0, 679.0]]","[[1768.5, 4414.7, 8894.9]]"
tomo_2aeb29,800,927,959,13.1,0,0,10480.0,12143.699999999999,12562.9,711194400,1598829729890.3997,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_2b3cdf,300,960,928,13.1,2,2,3930.0,12576.0,12156.8,267264000,600833793024.0,134.0,173.0,662.0,1755.3999999999999,2266.2999999999997,8672.199999999999,"[[134.0, 173.0, 662.0], [111.875, 698.0, 317.0]]","[[1755.3999999999999, 2266.2999999999997, 8672.199999999999], [1465.5625, 9143.8, 4152.7]]"
tomo_2b996c,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_2bb588,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,97.0,709.0,611.0,1270.7,9287.9,8004.099999999999,"[[97.0, 709.0, 611.0]]","[[1270.7, 9287.9, 8004.099999999999]]"
tomo_2c607f,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,108.0,349.0,527.0,1414.8,4571.9,6903.7,"[[108.0, 349.0, 527.0]]","[[1414.8, 4571.9, 6903.7]]"
tomo_2c8ea2,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,85.0,176.0,395.0,1326.0,2745.6,6162.0,"[[85.0, 176.0, 395.0]]","[[1326.0, 2745.6, 6162.0]]"
tomo_2c9da1,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,207.0,258.0,617.0,2711.7,3379.7999999999997,8082.7,"[[207.0, 258.0, 617.0]]","[[2711.7, 3379.7999999999997, 8082.7]]"
tomo_2c9f35,300,960,928,16.8,0,1,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,94.75,514.0,719.5,1591.8,8635.2,12087.6,"[[94.75, 514.0, 719.5]]","[[1591.8, 8635.2, 12087.6]]"
tomo_2cace2,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_2daaee,500,924,956,19.7,4,4,9850.0,18202.8,18833.2,441672000,3376747183656.0,185.0,596.0,860.0,3644.5,11741.199999999999,16942.0,"[[185.0, 596.0, 860.0], [210.0, 606.0, 849.0], [263.0, 163.0, 752.0], [193.0, 566.0, 857.0]]","[[3644.5, 11741.199999999999, 16942.0], [4137.0, 11938.199999999999, 16725.3], [5181.099999999999, 3211.1, 14814.4], [3802.1, 11150.199999999999, 16882.899999999998]]"
tomo_2dcd5c,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,125.0,414.0,519.0,1637.5,5423.4,6798.9,"[[125.0, 414.0, 519.0]]","[[1637.5, 5423.4, 6798.9]]"
