row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors,source,conf
69,tomo_19a313,67.0,598.0,300.0,300,960,928,13.1,1,origin,1.0
70,tomo_19a4fd,175.0,583.0,468.0,300,960,928,16.8,1,origin,1.0
71,tomo_1ab322,68.0,580.0,583.0,300,960,928,15.6,1,origin,1.0
72,tomo_1af88d,24.0,306.0,619.0,300,960,928,13.1,1,origin,1.0
73,tomo_1b82d1,223.0,716.0,677.0,500,924,956,19.7,4,origin,1.0
74,tomo_1b82d1,210.0,738.0,667.0,500,924,956,19.7,4,origin,1.0
75,tomo_1b82d1,222.0,878.0,470.0,500,924,956,19.7,4,origin,1.0
76,tomo_1b82d1,208.0,697.0,680.0,500,924,956,19.7,4,origin,1.0
77,tomo_1c2534,-1.0,-1.0,-1.0,800,927,959,13.1,0,origin,1.0
78,tomo_1c38fd,103.0,668.0,281.0,300,960,928,15.6,1,origin,1.0
79,tomo_1c75ac,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
80,tomo_1cc887,143.0,667.0,192.0,300,928,928,15.6,1,origin,1.0
81,tomo_1da097,34.0,579.0,419.0,500,928,960,13.1,2,origin,1.0
82,tomo_1da097,37.0,652.0,483.0,500,928,960,13.1,2,origin,1.0
83,tomo_1da0da,366.0,444.0,248.625,800,928,960,13.1,0,round1,0.7109375
84,tomo_1dc5f9,184.625,854.0,197.625,500,924,956,19.7,0,round1,0.47412109375
85,tomo_1e9980,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
86,tomo_1efc28,123.0,636.0,175.0,300,959,928,15.6,1,origin,1.0
87,tomo_1f0e78,112.0,797.0,264.0,300,959,928,15.6,1,origin,1.0
88,tomo_1fb6a7,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
89,tomo_20a9ed,185.0,319.0,560.0,300,960,928,13.1,1,origin,1.0
90,tomo_210371,263.0,584.0,595.0,300,960,928,15.6,1,origin,1.0
91,tomo_221a47,166.0,324.0,563.0,300,960,928,13.1,1,origin,1.0
92,tomo_221c8e,-1.0,-1.0,-1.0,500,928,928,16.8,0,origin,1.0
93,tomo_225d8f,61.0,483.0,497.0,300,960,928,13.1,1,origin,1.0
94,tomo_226cd8,365.0,528.0,607.0,500,928,960,13.1,10,origin,1.0
95,tomo_226cd8,312.0,136.0,99.0,500,928,960,13.1,10,origin,1.0
96,tomo_226cd8,299.0,227.0,70.0,500,928,960,13.1,10,origin,1.0
97,tomo_226cd8,332.0,552.0,58.0,500,928,960,13.1,10,origin,1.0
98,tomo_226cd8,355.0,656.0,165.0,500,928,960,13.1,10,origin,1.0
99,tomo_226cd8,366.0,693.0,269.0,500,928,960,13.1,10,origin,1.0
100,tomo_226cd8,386.0,693.0,319.0,500,928,960,13.1,10,origin,1.0
101,tomo_226cd8,388.0,671.0,433.0,500,928,960,13.1,10,origin,1.0
102,tomo_226cd8,411.0,318.0,740.0,500,928,960,13.1,10,origin,1.0
103,tomo_226cd8,354.0,277.0,756.0,500,928,960,13.1,10,origin,1.0
104,tomo_22976c,-1.0,-1.0,-1.0,500,928,960,13.1,0,origin,1.0
105,tomo_229f0a,-1.0,-1.0,-1.0,500,960,928,16.8,0,origin,1.0
106,tomo_23a8e8,132.0,686.0,356.0,300,960,928,15.6,1,origin,1.0
107,tomo_23c8a4,125.1875,468.0,300.5,300,960,928,16.8,0,round1,0.361083984375
108,tomo_23c8a4,110.0,506.25,308.0,300,960,928,16.8,0,round1,0.17626953125
109,tomo_23ce49,152.0,248.0,532.0,300,959,928,15.6,1,origin,1.0
110,tomo_247826,-1.0,-1.0,-1.0,500,960,928,16.8,0,origin,1.0
111,tomo_24795a,144.0,702.0,703.0,300,960,928,15.6,1,origin,1.0
112,tomo_2483bb,145.0,620.0,483.0,300,960,928,15.6,1,origin,1.0
113,tomo_24a095,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
114,tomo_24fda8,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
115,tomo_256717,172.0,770.0,514.0,300,928,928,15.6,1,origin,1.0
116,tomo_25780f,147.0,792.0,658.0,300,960,928,13.1,1,origin,1.0
117,tomo_2645a0,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
118,tomo_278194,-1.0,-1.0,-1.0,300,960,928,19.2,0,origin,1.0
119,tomo_285454,-1.0,-1.0,-1.0,300,956,924,16.1,0,round1,1.0
120,tomo_285d15,137.0,391.0,611.0,300,960,928,13.1,1,origin,1.0
121,tomo_288d4f,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
122,tomo_28f9c1,186.375,75.0,130.625,500,924,956,16.1,0,round1,0.22802734375
123,tomo_2a6091,185.0,492.0,635.0,300,960,928,13.1,1,origin,1.0
124,tomo_2a6ca2,32.0,528.0,347.0,300,960,928,13.1,1,origin,1.0
125,tomo_2a89bb,273.75,592.0,902.0,800,928,960,16.1,0,round1,0.6640625
126,tomo_2acf68,135.0,337.0,679.0,300,960,928,13.1,1,origin,1.0
127,tomo_2aeb29,-1.0,-1.0,-1.0,800,927,959,13.1,0,round1,1.0
128,tomo_2b3cdf,134.0,173.0,662.0,300,960,928,13.1,2,round1,1.0
129,tomo_2b3cdf,111.875,698.0,317.0,300,960,928,13.1,2,round1,0.74169921875
130,tomo_2b996c,-1.0,-1.0,-1.0,300,960,928,16.8,0,round1,1.0
131,tomo_2bb588,97.0,709.0,611.0,300,960,928,13.1,1,origin,1.0
132,tomo_2c607f,108.0,349.0,527.0,300,960,928,13.1,1,origin,1.0
133,tomo_2c8ea2,85.0,176.0,395.0,300,959,928,15.6,1,origin,1.0
134,tomo_2c9da1,207.0,258.0,617.0,300,960,928,13.1,1,origin,1.0
135,tomo_2c9f35,94.75,514.0,719.5,300,960,928,16.8,0,round1,0.424560546875
136,tomo_2cace2,-1.0,-1.0,-1.0,300,960,928,16.8,0,round1,1.0
137,tomo_2daaee,185.0,596.0,860.0,500,924,956,19.7,4,origin,1.0
138,tomo_2daaee,210.0,606.0,849.0,500,924,956,19.7,4,origin,1.0
139,tomo_2daaee,263.0,163.0,752.0,500,924,956,19.7,4,origin,1.0
140,tomo_2daaee,193.0,566.0,857.0,500,924,956,19.7,4,origin,1.0
141,tomo_2dcd5c,125.0,414.0,519.0,300,960,928,13.1,1,origin,1.0
142,tomo_2dd6bd,-1.0,-1.0,-1.0,300,928,928,16.8,0,round1,1.0
143,tomo_2e1f4c,73.0,86.0,334.0,300,959,928,15.6,1,origin,1.0
144,tomo_2f3261,143.0,458.0,695.0,300,960,928,13.1,1,origin,1.0
145,tomo_2fb12d,-1.0,-1.0,-1.0,300,960,928,16.8,0,round1,1.0
146,tomo_2fc82d,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
147,tomo_305c97,65.0,684.0,410.0,300,960,928,15.6,1,origin,1.0
148,tomo_307f33,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
149,tomo_30b580,142.0,392.0,575.0,300,928,928,13.1,1,origin,1.0
150,tomo_30d4e5,175.0,706.0,228.0,300,959,928,15.6,1,origin,1.0
151,tomo_317656,97.0,409.0,758.0,300,960,928,13.1,1,origin,1.0
152,tomo_3183d2,168.0,136.0,475.0,300,959,928,15.6,1,origin,1.0
153,tomo_319f79,195.0,243.0,380.0,500,928,960,13.1,1,origin,1.0
154,tomo_3264bc,-1.0,-1.0,-1.0,300,928,928,16.8,0,origin,1.0
155,tomo_32aaa7,156.0,526.0,641.0,300,960,928,13.1,1,origin,1.0
156,tomo_331130,106.0,553.0,323.0,300,960,928,13.1,1,origin,1.0
157,tomo_35ec84,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
158,tomo_369cce,95.0,361.0,268.0,300,960,928,13.1,1,origin,1.0
159,tomo_37076e,131.0,379.0,298.0,300,960,928,13.1,1,origin,1.0
160,tomo_372690,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
161,tomo_372a5c,179.0,730.0,406.0,300,959,928,15.6,1,origin,1.0
162,tomo_374ca7,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
163,tomo_375513,204.0,577.0,228.0,300,960,928,13.1,1,origin,1.0
164,tomo_378f43,166.0,763.0,526.0,300,960,928,13.1,1,origin,1.0
165,tomo_37c426,-1.0,-1.0,-1.0,600,960,928,15.6,0,origin,1.0
166,tomo_37dd38,200.0,321.0,602.0,500,924,956,19.7,3,origin,1.0
167,tomo_37dd38,162.0,100.0,662.0,500,924,956,19.7,3,origin,1.0
168,tomo_37dd38,184.0,303.0,593.0,500,924,956,19.7,3,origin,1.0
169,tomo_381add,219.0,625.0,862.0,500,924,956,19.7,2,origin,1.0
170,tomo_381add,209.0,596.0,871.0,500,924,956,19.7,2,origin,1.0
171,tomo_385eb6,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
172,tomo_38c2a6,251.0,687.0,200.0,300,960,928,13.1,1,origin,1.0
173,tomo_38d285,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
174,tomo_399bd9,126.0,509.0,366.0,300,928,928,13.1,1,origin,1.0
175,tomo_39b15b,-1.0,-1.0,-1.0,500,924,956,16.1,0,round1,1.0
176,tomo_3a0914,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
177,tomo_3a3519,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
178,tomo_3a6a9d,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,origin,1.0
179,tomo_3a8480,223.0,460.0,896.0,500,924,956,19.7,2,origin,1.0
180,tomo_3a8480,212.0,482.0,872.0,500,924,956,19.7,2,origin,1.0
181,tomo_3b1cc9,190.0,463.5,258.5,300,960,928,13.1,0,round1,0.221923828125
182,tomo_3b7a22,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
183,tomo_3b8291,-1.0,-1.0,-1.0,500,924,956,19.7,0,origin,1.0
184,tomo_3b83c7,162.0,181.0,613.0,300,960,928,13.1,1,origin,1.0
185,tomo_3c6038,99.0,324.0,156.0,300,959,928,15.6,1,origin,1.0
186,tomo_3e6ead,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
187,tomo_3e7407,265.0,349.0,736.0,500,924,956,19.7,4,origin,1.0
188,tomo_3e7407,231.0,341.0,699.0,500,924,956,19.7,4,origin,1.0
189,tomo_3e7407,257.0,348.0,692.0,500,924,956,19.7,4,origin,1.0
190,tomo_3e7407,241.0,350.0,725.0,500,924,956,19.7,4,origin,1.0
191,tomo_3e7783,186.0,531.0,617.0,300,960,928,13.1,1,origin,1.0
192,tomo_3eb9c8,150.0,411.0,416.0,300,960,928,13.1,1,origin,1.0
193,tomo_401341,166.0,612.0,722.0,300,960,928,13.1,1,round1,1.0
194,tomo_401341,190.0,82.5625,786.0,300,960,928,13.1,1,round1,0.7138671875
195,tomo_4077d8,73.0,100.0,225.0,300,928,928,15.6,1,origin,1.0
196,tomo_40b215,-1.0,-1.0,-1.0,500,924,956,16.1,0,origin,1.0
197,tomo_4102f1,149.0,820.0,485.0,300,928,928,15.6,1,origin,1.0
198,tomo_412d88,89.0,103.0,272.0,300,928,928,15.6,1,origin,1.0
199,tomo_417e5f,216.0,447.0,556.0,300,960,928,15.6,1,origin,1.0
200,tomo_41ea80,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,origin,1.0
201,tomo_423d52,154.0,444.0,456.0,300,960,928,13.1,1,origin,1.0
202,tomo_444829,112.0,786.0,641.0,300,928,928,13.1,1,origin,1.0
203,tomo_4469a7,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
204,tomo_4555b6,190.0,403.0,853.0,500,924,956,19.7,1,origin,1.0
205,tomo_455dcd,36.0,660.0,535.0,300,960,928,13.1,1,origin,1.0
206,tomo_46250a,170.0,168.0,336.0,300,928,928,15.6,1,origin,1.0
207,tomo_464108,278.0,561.5,336.5,800,928,928,13.1,0,round1,0.383056640625
208,tomo_466489,186.125,407.0,681.5,300,960,928,16.8,0,round1,0.1142578125
209,tomo_47ac94,85.625,570.0,463.0,300,960,928,15.6,0,round1,0.74609375
210,tomo_47ac94,159.5,537.0,143.125,300,960,928,15.6,0,round1,0.521484375
211,tomo_47c399,168.0,177.0,438.0,300,960,928,13.1,1,origin,1.0
212,tomo_47d380,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
213,tomo_48dc93,208.0,712.0,483.0,500,924,956,19.7,2,origin,1.0
214,tomo_48dc93,194.0,706.0,508.0,500,924,956,19.7,2,origin,1.0
215,tomo_4925ee,-1.0,-1.0,-1.0,300,960,928,19.2,0,origin,1.0
216,tomo_493bea,170.0,380.0,136.0,300,960,928,13.1,1,origin,1.0
217,tomo_49725c,150.0,624.0,739.0,300,959,928,15.6,2,origin,1.0
218,tomo_49725c,109.0,186.0,166.0,300,959,928,15.6,2,origin,1.0
219,tomo_499ee0,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
220,tomo_49f4ee,166.0,670.0,413.0,300,928,928,13.1,1,origin,1.0
221,tomo_4b124b,111.0,505.0,452.0,300,960,928,13.1,1,origin,1.0
222,tomo_4b59a2,156.0,491.0,738.0,300,960,928,13.1,1,origin,1.0
223,tomo_4baff0,162.5,281.75,814.5,500,924,956,16.1,0,round1,0.1639404296875
224,tomo_4c1ca8,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
225,tomo_4c2e4e,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
226,tomo_4d528f,377.25,313.5,814.5,800,928,960,16.1,0,round1,0.1424560546875
227,tomo_4e1b18,230.125,132.75,158.75,500,924,956,19.7,0,round1,0.48486328125
228,tomo_4e1b18,236.625,145.75,119.6875,500,924,956,19.7,0,round1,0.425048828125
229,tomo_4e1b18,217.125,555.0,847.5,500,924,956,19.7,0,round1,0.349853515625
230,tomo_4e38b8,209.0,753.0,370.0,300,959,928,15.6,1,origin,1.0
231,tomo_4e3e37,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
232,tomo_4e41c2,-1.0,-1.0,-1.0,800,927,959,13.1,0,round1,1.0
233,tomo_4e478f,117.0,467.0,156.0,300,959,928,15.6,1,origin,1.0
234,tomo_4ed9de,173.0,724.0,717.0,300,960,928,15.6,1,origin,1.0
235,tomo_4ee35e,157.0,670.0,300.0,300,959,928,15.6,1,origin,1.0
236,tomo_4f379f,124.0,535.0,151.0,300,959,928,15.6,1,origin,1.0
237,tomo_4f5a7b,170.5,512.5,796.0,300,960,928,13.1,0,round1,0.689453125
238,tomo_507b7a,451.0,561.0,366.0,500,928,960,13.1,2,origin,1.0
239,tomo_507b7a,427.0,384.0,353.0,500,928,960,13.1,2,origin,1.0
240,tomo_50cbd9,346.25,629.5,688.5,800,928,960,13.1,0,round1,0.720703125
241,tomo_50f0bf,218.125,265.75,711.0,500,924,956,16.1,0,round1,0.62451171875
242,tomo_510f4e,191.0,236.0,381.0,300,928,928,16.8,1,origin,1.0
243,tomo_512f98,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
244,tomo_513010,128.0,150.0,499.0,300,960,928,13.1,1,origin,1.0
245,tomo_516cdd,187.0,739.0,181.0,300,959,928,15.6,1,origin,1.0
246,tomo_517f70,66.0,325.0,392.0,300,928,928,13.1,1,origin,1.0
247,tomo_518a1f,108.0,564.0,683.0,300,960,928,15.6,1,origin,1.0
248,tomo_51a47f,112.0,302.0,207.0,300,960,928,15.6,1,origin,1.0
249,tomo_51a77e,-1.0,-1.0,-1.0,500,928,960,13.1,0,origin,1.0
250,tomo_5308e8,337.5,711.0,424.75,800,928,960,16.1,0,round1,0.576171875
251,tomo_532d49,47.0,517.0,252.0,300,960,928,15.6,1,origin,1.0
252,tomo_539259,152.0,503.0,613.0,300,960,928,16.8,1,origin,1.0
253,tomo_53c71b,405.0,278.0,512.5,800,928,960,13.1,0,round1,0.1512451171875
254,tomo_53e048,190.0,666.0,542.0,300,960,928,13.1,1,origin,1.0
255,tomo_54e1a7,193.75,856.5,597.5,300,928,928,16.8,0,round1,0.376708984375
256,tomo_556257,123.0,210.0,434.0,300,959,928,15.6,1,origin,1.0
257,tomo_568537,215.0,531.0,386.0,300,960,928,13.1,1,origin,1.0
258,tomo_569981,444.0,414.75,356.25,800,928,928,13.1,0,round1,0.564453125
259,tomo_56b9a3,60.0,299.0,498.0,300,928,928,13.1,1,origin,1.0
260,tomo_57592d,174.0,904.0,560.0,300,928,928,15.6,1,origin,1.0
261,tomo_5764d6,92.0,679.0,580.0,500,928,960,13.1,1,origin,1.0
262,tomo_57c814,168.0,359.0,402.0,300,928,928,13.1,1,origin,1.0
263,tomo_5984bf,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
264,tomo_59b470,139.0,152.0,631.0,300,960,928,15.6,1,origin,1.0
265,tomo_5b087f,159.0,252.0,373.0,300,959,928,15.6,1,origin,1.0
266,tomo_5b34b2,112.0,613.0,233.0,300,960,928,13.1,1,round1,1.0
267,tomo_5b34b2,63.0,463.5,297.5,300,960,928,13.1,1,round1,0.75439453125
268,tomo_5b359d,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
269,tomo_5b8db4,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
270,tomo_5ba0cf,217.0,627.0,315.0,500,924,956,19.7,2,origin,1.0
271,tomo_5ba0cf,221.0,653.0,333.0,500,924,956,19.7,2,origin,1.0
272,tomo_5bb31c,-1.0,-1.0,-1.0,800,928,928,19.3,0,origin,1.0
273,tomo_5d01e8,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,origin,1.0
274,tomo_5d4c65,190.0,601.0,652.0,500,928,960,13.1,4,origin,1.0
275,tomo_5d4c65,180.0,770.0,483.0,500,928,960,13.1,4,origin,1.0
276,tomo_5d4c65,187.0,392.0,902.0,500,928,960,13.1,4,origin,1.0
277,tomo_5d4c65,145.0,505.0,794.0,500,928,960,13.1,4,origin,1.0
278,tomo_5d798e,121.0,349.0,402.0,300,960,928,15.6,1,origin,1.0
279,tomo_5dd63d,135.0,823.0,772.0,300,960,928,13.1,1,origin,1.0
280,tomo_5e2a91,267.0,574.0,284.0,300,960,928,15.6,1,origin,1.0
281,tomo_5f1f0c,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
282,tomo_5f235a,119.0,656.0,372.0,300,960,928,13.1,1,origin,1.0
283,tomo_5f34b3,-1.0,-1.0,-1.0,500,924,956,19.7,0,round1,1.0
284,tomo_603e40,118.0,123.0,367.0,300,960,928,13.1,1,origin,1.0
285,tomo_60d478,75.0,681.0,456.0,300,928,928,13.1,1,origin,1.0
286,tomo_60ddbd,69.0,450.0,492.0,300,960,928,13.1,1,origin,1.0
287,tomo_616f0b,149.0,874.0,609.0,300,959,928,15.6,1,origin,1.0
288,tomo_61e947,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
289,tomo_622ca9,88.0,348.0,565.0,300,928,928,13.1,1,origin,1.0
290,tomo_62dbea,90.0,656.0,789.0,300,960,928,13.1,1,origin,1.0
291,tomo_62eea8,111.0,469.0,334.0,300,960,928,13.1,2,origin,1.0
292,tomo_6303f0,199.0,590.0,212.0,300,960,928,13.1,1,origin,1.0
293,tomo_634b06,212.0,185.0,728.0,500,928,960,13.1,4,origin,1.0
294,tomo_634b06,256.0,516.0,509.0,500,928,960,13.1,4,origin,1.0
295,tomo_634b06,228.0,422.0,664.0,500,928,960,13.1,4,origin,1.0
296,tomo_634b06,266.0,491.0,535.0,500,928,960,13.1,4,origin,1.0
297,tomo_63e635,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
298,tomo_640a74,3.0,563.0,673.0,300,960,928,13.1,1,origin,1.0
299,tomo_643b20,168.0,387.0,596.0,300,960,928,13.1,1,origin,1.0
300,tomo_646049,208.75,143.125,775.0,300,960,928,15.6,0,round1,0.057708740234375
301,tomo_6478e5,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
302,tomo_648adf,-1.0,-1.0,-1.0,400,960,928,15.6,0,origin,1.0
303,tomo_651ec2,-1.0,-1.0,-1.0,500,924,956,16.1,0,origin,1.0
304,tomo_651ecd,152.0,455.0,337.0,300,960,928,13.1,1,origin,1.0
305,tomo_6521dc,200.5,463.0,233.375,300,960,928,15.6,0,round1,0.63134765625
306,tomo_6521dc,126.6875,693.0,471.25,300,960,928,15.6,0,round1,0.28564453125
307,tomo_6521dc,151.25,734.0,553.5,300,960,928,15.6,0,round1,0.260009765625
308,tomo_656915,202.0,794.0,167.0,500,924,956,19.7,1,origin,1.0
309,tomo_6607ec,-1.0,-1.0,-1.0,300,960,928,15.6,0,round1,1.0
310,tomo_66285d,75.0,438.0,640.0,300,928,928,13.1,1,origin,1.0
311,tomo_672101,102.0,290.0,581.0,300,960,928,13.1,1,origin,1.0
312,tomo_6733fa,133.0,323.0,751.0,300,960,928,13.1,1,origin,1.0
313,tomo_675583,187.0,565.0,765.0,300,960,928,16.8,1,origin,1.0
314,tomo_67565e,124.0,622.0,610.0,300,959,928,15.6,1,origin,1.0
315,tomo_676744,252.0,589.0,491.0,300,960,928,16.8,1,origin,1.0
316,tomo_67717e,137.0,280.0,561.0,300,959,928,15.6,2,origin,1.0
317,tomo_67717e,160.0,171.0,404.0,300,959,928,15.6,2,origin,1.0
318,tomo_67ff4e,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
319,tomo_68e123,89.0,771.0,530.0,300,928,928,15.6,1,origin,1.0
320,tomo_692081,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
